"content","code","description"
"Nom de la fédération","club101","Fédération française d'athlétisme"
"Nom de la fédération","club102","Fédération française d'aviron"
"Nom de la fédération","club103","Fédération française de badminton"
"Nom de la fédération","club105","Fédération française de basketball"
"Nom de la fédération","club106","Fédération française de boxe"
"Nom de la fédération","club107","Fédération française de canoë-kayak"
"Nom de la fédération","club108","Fédération française de cyclisme"
"Nom de la fédération","club109","Fédération française d'équitation"
"Nom de la fédération","club110","Fédération française d'escrime"
"Nom de la fédération","club111","Fédération française de football"
"Nom de la fédération","club112","Fédération française des sports de glace"
"Nom de la fédération","club113","Fédération française de gymnastique"
"Nom de la fédération","club114","Fédération française d'haltérophilie, musculation"
"Nom de la fédération","club115","Fédération française de handball"
"Nom de la fédération","club116","Fédération française de hockey"
"Nom de la fédération","club117","Fédération française de judo-jujitsu et disciplines associées"
"Nom de la fédération","club118","Fédération française de lutte et disciplines associées"
"Nom de la fédération","club119","Fédération française de natation"
"Nom de la fédération","club121","Fédération française de ski"
"Nom de la fédération","club122","Fédération française de taekwondo et disciplines associées"
"Nom de la fédération","club123","Fédération française de tennis"
"Nom de la fédération","club124","Fédération française de tennis de table"
"Nom de la fédération","club125","Fédération française de tir"
"Nom de la fédération","club126","Fédération française de tir à l'arc"
"Nom de la fédération","club127","Fédération française de triathlon"
"Nom de la fédération","club128","Fédération française de voile"
"Nom de la fédération","club129","Fédération française de volley-ball"
"Nom de la fédération","club131","Fédération française de hockey sur glace"
"Nom de la fédération","club132","Fédération française de golf"
"Nom de la fédération","club133","Fédération française de rugby"
"Nom de la fédération","club201","Fédération française d'aéromodélisme"
"Nom de la fédération","club202","Fédération française d'aéronautique"
"Nom de la fédération","club203","Fédération française d'aérostation"
"Nom de la fédération","club204","Fédération française d'aïkido, d'aïkibudo et affinitaires"
"Nom de la fédération","club205","Fédération française d'aïkido et de budo"
"Nom de la fédération","club206","Fédération française du sport automobile"
"Nom de la fédération","club209","Fédération française de ball-trap et de tir à balle"
"Nom de la fédération","club210","Fédération française de billard"
"Nom de la fédération","club211","Fédération française du sport boules"
"Nom de la fédération","club212","Fédération française de boxe française, savate et disciplines associées"
"Nom de la fédération","club213","Fédération française de bowling et de sports de quilles"
"Nom de la fédération","club214","Fédération française de char à voile"
"Nom de la fédération","club215","Fédération française de la course camarguaise"
"Nom de la fédération","club216","Fédération française de la course landaise"
"Nom de la fédération","club217","Fédération française de la course d'orientation"
"Nom de la fédération","club218","Fédération française de cyclotourisme"
"Nom de la fédération","club219","Fédération française de danse"
"Nom de la fédération","club221","Fédération française d'études et sports sous-marins"
"Nom de la fédération","club222","Fédération française de football américain"
"Nom de la fédération","club226","Fédération française de javelot tir sur cible"
"Nom de la fédération","club228","Fédération française de joutes et sauvetage nautique"
"Nom de la fédération","club229","Fédération française de karaté et disciplines associées"
"Nom de la fédération","club232","Fédération française de la montagne et de l'escalade"
"Nom de la fédération","club233","Fédération française de motocyclisme"
"Nom de la fédération","club234","Fédération française de motonautique"
"Nom de la fédération","club237","Fédération française de parachutisme"
"Nom de la fédération","club241","Fédération française de pelote basque"
"Nom de la fédération","club242","Fédération française de pétanque et jeu provençal"
"Nom de la fédération","club243","Fédération française de planeur ultra léger motorisé"
"Nom de la fédération","club244","Fédération française de pulka et traineau à chiens"
"Nom de la fédération","club245","Fédération française de la randonnée pédestre"
"Nom de la fédération","club246","Fédération française de roller et skateboard"
"Nom de la fédération","club249","Fédération française de sauvetage et secourisme"
"Nom de la fédération","club250","Fédération française de ski nautique et wake board"
"Nom de la fédération","club252","Fédération française de squash"
"Nom de la fédération","club253","Fédération française de surf"
"Nom de la fédération","club254","Fédération française des Arts Energétiques et Martiaux Chinois"
"Nom de la fédération","club255","Fédération française des sports de traîneau"
"Nom de la fédération","club256","Fédération française de twirling bâton"
"Nom de la fédération","club257","Fédération française de vol à voile"
"Nom de la fédération","club258","Fédération française de vol libre"
"Nom de la fédération","club261","Fédération française de kick-boxing, muay-thaï et disciplines associées"
"Nom de la fédération","club262","Fédération française de baseball et softball"
"Nom de la fédération","club264","Fédération Flying Disc France"
"Nom de la fédération","club265","Fédération nautique de pêche sportive en apnée"
"Nom de la fédération","club266","Fédération française de force"
"Nom de la fédération","club267","Fédération française des pêches sportives"
"Nom de la fédération","club401","Fédération française des clubs alpins et de montagne"
"Nom de la fédération","club402","Fédération française d'éducation physique et de gymnastique volontaire"
"Nom de la fédération","club403","Fédération française sport pour tous"
"Nom de la fédération","club404","Fédération française de la retraite sportive"
"Nom de la fédération","club405","Fédération française du sport travailliste"
"Nom de la fédération","club406","Fédération des clubs de la défense"
"Nom de la fédération","club407","Fédération nationale du sport en milieu rural"
"Nom de la fédération","club408","Fédération sportive et culturelle de France"
"Nom de la fédération","club409","Fédération française Maccabi"
"Nom de la fédération","club410","Fédération sportive et gymnique du travail (FSGT)"
"Nom de la fédération","club413","Union française des œuvres laïques d'éducation physique (UFOLEP)"
"Nom de la fédération","club415","Fédération française omnisports des personnels de l'éducation nationale de la jeunesse et sports (2F OPEN-JS)"
"Nom de la fédération","club417","Union nationale sportive Léo Lagrange"
"Nom de la fédération","club418","Fédération française du sport d'entreprise"
"Nom de la fédération","club420","Fédération sportive des ASPTT"
"Nom de la fédération","club501","Fédération française handisport"
"Nom de la fédération","club601","Fédération française du sport universitaire"
"Nom de la fédération","club603","Union nationale des clubs universitaires"
"Nom de la fédération","club604","Union nationale du sport scolaire (UNSS)"
"Nom de la fédération","club605","Union sportive de l'enseignement du premier degré"
