"content","code","description"
"Catégorie socioprofessionnelle en 24 postes","cs10","Agriculteurs exploitants"
"Catégorie socioprofessionnelle en 24 postes","cs21","Artisans"
"Catégorie socioprofessionnelle en 24 postes","cs22","Commerçants et assimilés"
"Catégorie socioprofessionnelle en 24 postes","cs23","Chefs d'entreprise de 10 salariés ou plus"
"Catégorie socioprofessionnelle en 24 postes","cs31","Professions libérales et assimilés"
"Catégorie socioprofessionnelle en 24 postes","cs32","Cadres de la fonction publique, professions intellectuelles et artistiques"
"Catégorie socioprofessionnelle en 24 postes","cs36","Cadres d'entreprise"
"Catégorie socioprofessionnelle en 24 postes","cs41","Professions intermédiaires de l'enseignement, de la santé, de la fonction publique et assimilés"
"Catégorie socioprofessionnelle en 24 postes","cs46","Professions intermédiaires administratives et commerciales des entreprises"
"Catégorie socioprofessionnelle en 24 postes","cs47","Techniciens"
"Catégorie socioprofessionnelle en 24 postes","cs48","Contremaîtres, agents de maîtrise"
"Catégorie socioprofessionnelle en 24 postes","cs51","Employés de la fonction publique"
"Catégorie socioprofessionnelle en 24 postes","cs54","Employés administratifs d'entreprise"
"Catégorie socioprofessionnelle en 24 postes","cs55","Employés de commerce"
"Catégorie socioprofessionnelle en 24 postes","cs56","Personnels des services directs aux particuliers"
"Catégorie socioprofessionnelle en 24 postes","cs61","Ouvriers qualifiés"
"Catégorie socioprofessionnelle en 24 postes","cs66","Ouvriers non qualifiés"
"Catégorie socioprofessionnelle en 24 postes","cs69","Ouvriers agricoles"
"Catégorie socioprofessionnelle en 24 postes","cs71","Anciens agriculteurs exploitants"
"Catégorie socioprofessionnelle en 24 postes","cs72","Anciens artisans, commerçants, chefs d'entreprise"
"Catégorie socioprofessionnelle en 24 postes","cs73","Anciens cadres et professions intermédiaires"
"Catégorie socioprofessionnelle en 24 postes","cs76","Anciens employés et ouvriers"
"Catégorie socioprofessionnelle en 24 postes","cs81","Chômeurs n'ayant jamais travaillé"
"Catégorie socioprofessionnelle en 24 postes","cs82","Inactifs divers (autres que retraités)"
